ID,Name,Age,Occupation,Hometown,ElimWeek,Season,Season Text,BIP,BP,ELIMINATION_1,ELIMINATION_2,ELIMINATION_3,ELIMINATION_4,ELIMINATION_5,ELIMINATION_6,ELIMINATION_7,ELIMINATION_8,ELIMINATION_9,ELIMINATION_10,DATES_1,DATES_2,DATES_3,DATES_4,DATES_5,DATES_6,DATES_7,DATES_8,DATES_9,DATES_10,MAIN_CHAR
05_MIKE_S,Mike Steinberg,28,Business Owner,"New York, New York",4.0,5,05,,,,R,,ED,,,,,,,,D7,D11,D2,,,,,,,
05_BRAD_S,Brad Seberhagen,27,Financial Advisor,"Park Ridge, Illinois",3.0,5,05,,,,,E,,,,,,,,,D8,D11,,,,,,,,
05_TANNER_F,Tanner Fanello,28,Sales,"Derby, Kansas",3.0,5,05,,,,,E,,,,,,,,,,D11,,,,,,,,
05_SASHA_P,Sasha Petrovic,27,Consultant,"Houston, Texas",3.0,5,05,,,,,ED,,,,,,,,,D8,D1,,,,,,,,
05_BRIAN_D,Brian Duke,32,Consultant,"Birmingham, Alabama",2.0,5,05,,,,E,,,,,,,,,,D8,,,,,,,,,
05_JULIEN_H,Julien Hug,34,Restaurateur,"San Diego, California",2.0,5,05,,,,E,,,,,,,,,,,,,,,,,,,
05_MATHUE_J,Mathue Johnson,25,Personal Trainer,"Andover, Kansas",2.0,5,05,,,,E,,,,,,,,,,D8,,,,,,,,,
05_SIMON_A,Simon Ambrose,26,Soccer Coach,"Bradford, England",2.0,5,05,,,,E,,,,,,,,,,D7,,,,,,,,,
05_ADAM_D,Adam Duvendeck,27,Olympic Cyclist,"Santa Barbara, California",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_BRYAN_V,Bryan Vaderman,28,High School Coach,"Lawton, Oklahoma",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_BRYCE_H,Bryce Harlow,31,Furniture Dealer,"Fort Lauderdale, Florida",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_CALEB_K,Caleb Kuhl,27,Photographer,Missouri,1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_GREG_B,Greg Bilbro,31,Entrepreneur,"Albuquerque, New Mexico",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOHN_H,John Hardesty,27,Consultant,"Boise, Idaho",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOHN_P,John Presser,29,Marketing Specialist,"Fort Wayne, Indiana",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOSH_Y,Josh Yocam,25,Lifeguard,"Tustin, California",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_KYLE_Y,Kyle Yauch,26,Designer,"Austin, Texas",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_STEPHEN_R,Stephen Reich,30,Lawyer,"Lexington, Massachusetts",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
06_ROBERTO_M,Roberto Martinez,26,Insurance Agent,"Tampa, Florida",0,6,06,,,R1,,R,,,,,,,W,,,D1,D7,D6,D4,D1,D1,D1,D1,
06_CHRIS_L,Chris Lambton,33,Landscaper,"Dennis, Massachusetts",10.0,6,06,,,,,,R,,,,,,ED,,,D9,D1,D6,D4,D1,D1,D1,D1,
06_FRANK_N,Frank Neuschaefer,31,Retail Manager,"Bartlett, Illinois",9.0,6,06,,,,R,,,,R,,,EF,,,D1,D9,D7,D6,D1,D2,D1,D1,,
06_KIRK_D,Kirk DeWindt,27,Sales,"Green Bay, Wisconsin",8.0,6,06,A_2,B_2,,,R,,R,,,E,,,,D12,D9,D7,D1,D4,D1,D1,,,
06_TY_B,Ty Brown,31,Sales,Missouri,7.0,6,06,,,,R,,,R,R,E,,,,,D12,,D7,D6,D1,D2,,,,
06_CRAIG_R,Craig Robinson,27,Lawyer,"Langhorne, Pennsylvania",6.0,6,06,,,,,,,,E,,,,,,D12,D9,D7,D6,D4,,,,,
06_JUSTIN_R,Justin Rego,26,Entertainment Wrestler,"Toronto, Ontario",6.0,6,06,,B_2,,,,,R,EF,,,,,,D12,D9,,D2,,,,,,
06_CHRIS_N,Chris Nordhorn,29,Entrepreneur,"Winter Park, Florida",5.0,6,06,,,,,,,E,,,,,,,D12,D9,,D6,,,,,,
06_KASEY_K,Kasey Kahl,27,Advertising,"Fresno, California",5.0,6,06,,B_2,,,,,ED,,,,,,,D12,,D1,D2,,,,,,
06_JESSE_B,Jesse Beck,24,General Contractor,Missouri,4.0,6,06,,B_1,,R,,E,,,,,,,,D1,D9,D7,,,,,,,
06_JONATHAN_N,Jonathan Novack,30,Weatherman,"Boston, Massachusetts",4.0,6,06,,B_1,,,,E,,,,,,,,D12,D9,D7,,,,,,,
06_JOHN_C,John Crivello,32,Hotel Business Development,"Mukilteo, Washington",3.0,6,06,,,,,E,,,,,,,,,,D9,,,,,,,,
06_STEVE_K,Steve Kocsis,28,Sales,"Chesterland, Ohio",3.0,6,06,,,,,E,,,,,,,,,D12,,,,,,,,,
06_HUNTER_W,Hunter Wagner,28,Internet Account Executive,"Fair Oaks Ranch, Texas",3.0,6,06,,,,,ED,,,,,,,,,D12,D1,,,,,,,,
06_CHRIS_H,Chris Hasek-Watt,27,Real Estate Developer,"Campbell River, British Columbia",2.0,6,06,,,,E,,,,,,,,,,D12,,,,,,,,,
06_CRAIG_M,Craig McKinnon,34,Sales,"Sarnia, Ontario",2.0,6,06,,B_1,,E,,,,,,,,,,D12,,,,,,,,,
06_TYLER_V,Tyler Vermette,25,Advertising,"Chelsea, Vermont",2.0,6,06,,,,E,,,,,,,,,,D12,,,,,,,,,
06_DEREK_X,Derek,28,Sales,"Warren, Michigan",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_DERRICK_S,Derrick Schuster,27,Engineer,"Manhattan Beach, California",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_JASON_W,Jason Whitehead,27,Consultant,"Johnson City, Tennessee",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_JAY_R,Jay Resmini,29,Lawyer,"Barrington, Rhode Island",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_JOHN_N,John N.,27,Sales,"Wichita, Kansas",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_KYLE_H,Kyle Higgins,26,Outdoorsman,"Highlands Ranch, Colorado",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_PHIL_K,Phil Kayden,30,Investment Manager,"Elmore, Ohio",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_TYLER_M,Tyler Morrow,25,Catering Manager,"Helena, Montana",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
07_JP_R,JP Rosenbaum,34,Construction Manager,"Roslyn, New York",0,7,07,,,,,R,,,R,R,,,W,,,D1,D10,D8,D1,D3,D1,D1,D1,
07_BEN_F,Ben Flajnik,28,Wine Maker,"Sonoma, California",10.0,7,07,,,,,,R,R,,,,,E,,D6,D10,D10,D1,D6,D1,D1,D1,D1,16
07_CONSTANTINE_T,Constantine Tzortzis,30,Business Owner,"Cumming, Georgia",9.0,7,07,,,,,,R,,,,,EQ,,,,,D1,D8,D6,D1,D1,D1,,
07_AMES_B,Ames Brown,31,Portfolio Manager,"Chadds Ford, Pennsylvania",8.0,7,07,,B_2,,,,R,,,,E,,,,,D10,D1,D8,D6,D3,D1,,,
07_LUCAS_D,Lucas Daniels,30,Oilfield Equipment Distributor,"Odessa, Texas",7.0,7,07,,,,,,,,R,E,,,,,D6,D10,D10,D8,D1,D3,,,,
07_RYAN_P,Ryan Park,31,Solar Energy Executive,"San Luis Obispo, California",7.0,7,07,,,R1,,R,,,R,ED,,,,,,D10,D10,D8,D6,D1,,,,
07_BLAKE_J,Blake Julian,27,Dentist,"Steamboat Springs, Colorado",6.0,7,07,,B_2,,,,,R,E,,,,,,D6,D10,D10,D8,D6,,,,,
07_RYAN_M,"Ryan ""Mickey"" McLean",31,Chef,"Rochester, New York",6.0,7,07,,,,R,,,,EQ,,,,,,D1,,D10,D8,D6,,,,,
07_NICK_P,Nick Peterson,26,Personal Trainer,"Odessa, Florida",5.0,7,07,A_2,B_3,,,,,E,,,,,,,D6,D10,D10,D8,,,,,,
07_WILLIAM_H,William Holman,30,Sales,"Fostoria, Ohio",5.0,7,07,,B_2,,R,,,ED,,,,,,,D1,D10,D10,D2,,,,,,
07_BEN_C,Ben Castoriano,28,Lawyer,"Lake Charles, Louisiana",5.0,7,07,,,,,R,,ED,,,,,,,,D1,D10,D2,,,,,,
07_WEST_L,West Lee,30,Lawyer,"Walhalla, South Carolina",4.0,7,07,,,,,,E,,,,,,,,D6,,D10,,,,,,,
07_CHRIS_D,Chris Drish,25,Sports Marketing Coordinator,"Moline, Illinois",3.0,7,07,,,,,E,,,,,,,,,,D10,,,,,,,,
07_JEFF_M,Jeff Medolla,35,Entrepreneur,Missouri,3.0,7,07,,,,,E,,,,,,,,,,D10,,,,,,,,
07_BENTLEY_W,Bentley Williams,28,Businessman,"Alpine, Utah",3.0,7,07,,,,R,EQ,,,,,,,,,D6,D10,,,,,,,,
07_MATT_C,Matt Colombo,28,Sales,"Bridgewater, Massachusetts",2.0,7,07,A_4,,,E,,,,,,,,,,,,,,,,,,,
07_RYAN_M,Ryan Miller,27,Constructor Estimator,"Novi, Michigan",2.0,7,07,,,,R,,,,EQ,,,,,,D1,,D10,D8,D6,,,,,
07_STEPHEN_D,Stephen D'Amico,27,Hairstylist,"Portland, Connecticut",2.0,7,07,,,,E,,,,,,,,,,,,,,,,,,,
07_ANTHONY_S,Anthony Santucci,28,Butcher,"Saddle River, New Jersey",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_CHRIS_M,Chris Malhomme,27,Construction Company CEO,"Gibbons, Alberta",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_FRANK_C,Frank Carpenter,29,College Admissions Director,"Anchorage, Alaska",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_JON_E,Jon Ellsworth,26,E-Commerce Executive,"Vancouver, Washington",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_MICHAEL_B,Michael Burns,29,Sales,"Providence, Rhode Island",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_ROB_D,Rob Dahm,27,Technology Executive,"Monroe, Michigan",1.0,7,07,,,E,,,,,,,,,,,,,,,,,,,,
07_TIM_M,Tim McCormack,35,Liquor Distributor,"Massapequa, New York",1.0,7,07,,,EU,,,,,,,,,,,,,,,,,,,,
08_JEF_H,Jef Holm,27,Entrepreneur,"St. George, Utah",0,8,08,,,,R,,R,R,,,,,W,,D13,D12,D8,D1,D6,D1,D1,D1,D1,
08_ARIE_J,"Arie Luyendyk, Jr.",30,Race Car Driver,"Scottsdale, Arizona",10.0,8,08,,,,,R,,,,,,,ED,,,D1,D8,D8,D6,D1,D1,D1,,22
08_SEAN_L,Sean Lowe,28,Insurance Agent,"Irving, Texas",9.0,8,08,,,,,R,,R,,R,,E,,,,D12,D8,D1,D6,D3,D1,D1,,17
08_CHRIS_B,Chris Bukowski,25,Sales,"Chicago, Illinois",8.0,8,08,"A_1, A_2, A_6",B_3,,,R,,,R,,E,,,,D13,D1,D8,D8,D6,D3,D1,,,
08_JOHN_W,John Wolfner,30,Data Destruction Specialist,Missouri,7.0,8,08,,,,,,R,,,E,,,,,D13,D12,D2,D8,D6,D1,,,,
08_DOUG_C,Doug Clerget,33,Single Dad/Real Estate Agent,"Tacoma, Washington",7.0,8,08,,,R1,,,R,,,ED,,,,,,D12,D1,D8,D6,D3,,,,
08_RYAN_B,Ryan Bowers,31,Pro Sports Trainer,"Evans, Georgia",6.0,8,08,,,,R,,,,ED,,,,,,D1,D12,D8,D8,D1,,,,,
08_TRAVIS_P,Travis Pope,30,Sales,Missouri,6.0,8,08,,,,,,,,ED,,,,,,,D12,D8,D8,D1,,,,,
08_ALEJANDRO_V,Alejandro Velez,25,Mushroom Farmer,"San Francisco, California",5.0,8,08,,,,,,,E,,,,,,,D13,D12,,D8,,,,,,
08_KALON_M,Kalon McMahon,27,Consultant,"Houston, Texas",5.0,8,08,A_1,B_3,,,,,ED,,,,,,,D13,,D8,D8,,,,,,
08_CHARLIE_G,Charlie Grogan,32,Recruiter,"Worcester, Massachusetts",4.0,8,08,,,,,,E,,,,,,,,D13,D12,D8,,,,,,,
08_MICHAEL_N,Michael Nance,26,Rehab Counselor,"Austin, Texas",4.0,8,08,,,,,,E,,,,,,,,D13,D12,,,,,,,,
